"orf","sample","coverage","D01","D02","D03","D04","D05","D06","T00","T01","T02","T03","T04"
"R05D06_VL46-0475-05292019|NODE_30_length_2739_cov_77.002981_423_3_1|TLMV","R05","77.002981",NA,NA,NA,NA,NA,0.000485755180368439,NA,NA,0.0182100659878229,0.0090887525628026,NA
"R05D06_VL46-0475-05292019|NODE_31_length_2641_cov_37.344161_247_1_1|TLMV","R05","37.344161",NA,NA,NA,NA,NA,0.000219373307263166,NA,NA,0.000248298037568297,NA,2.43034842358764e-05
"R05D06_VL46-0475-05292019|NODE_33_length_2530_cov_15783.251313_270_3_1|TTMV","R05","15783.251313",NA,NA,NA,NA,NA,0.111907318695062,9.75436647247736e-06,2.735194642591e-05,0.00103485943626355,0.0486051843746405,0.0306491792050551
"R05D06_VL46-0475-05292019|NODE_34_length_2522_cov_1061.274828_313_4_1|TLMV","R05","1061.274828",NA,NA,NA,NA,NA,0.00610964454179135,NA,NA,NA,2.97265779090503e-06,NA
"R05D06_VL46-0475-05292019|NODE_35_length_2510_cov_2232.182077_262_1_1|TTMV","R05","2232.182077",NA,NA,NA,NA,NA,0.0150701627328821,NA,NA,0.00373299895539383,NA,NA
"R05D06_VL46-0475-05292019|NODE_36_length_2510_cov_171.608961_221_2_1|TTMV","R05","171.608961",NA,NA,NA,NA,NA,0.000985710865001682,NA,NA,0.000207118088256185,NA,NA
"R05D06_VL46-0475-05292019|NODE_39_length_2480_cov_9174.545567_205_4_1|TTMV","R05","9174.545567",NA,NA,NA,NA,NA,0.0624709562962343,NA,NA,1.94934671299939e-06,2.08086045363352e-06,0.00140960208568083
"R05D06_VL46-0475-05292019|NODE_4_length_3520_cov_2575.470418_356_2_1|TTV_Clade5","R05","2575.470418",NA,NA,NA,NA,NA,0.0121399621287241,NA,0.0266095364514924,0.00350151403322515,0.00820498140156653,0.0262242880183823
"R05D06_VL46-0475-05292019|NODE_6_length_3181_cov_171.622841_498_3_1|TLMV","R05","171.622841",NA,NA,NA,NA,NA,0.00106161011193425,NA,NA,0.00153974023493039,NA,1.10470382890347e-06
"R05D06_VL46-0475-05292019|NODE_7_length_3166_cov_733.141434_365_2_1|TTV_Clade5","R05","733.141434",NA,NA,NA,NA,NA,0.00546670446938836,NA,NA,0.0251490092810834,0.108907925789382,0.00790139413623208
"R05D06_VL46-0475-05292019|NODE_8_length_3155_cov_2097.380000_624_3_1|TTV_Clade9","R05","2097.380000",NA,NA,NA,NA,NA,0.00736810302318942,NA,NA,0.0149385748667317,NA,0.0347857426923842
"R05D06_VL46-0475-05292019|NODE_9_length_3133_cov_45.125081_560_2_1|TTV_Clade3","R05","45.125081",NA,NA,NA,NA,NA,0.000323673562725341,NA,NA,0.00129119852902297,0.00786758474229881,NA
"R06D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_3523_cov_4.192618_516_3_1|TTV_Clade3","R06","4.192618",0.345029239766082,NA,NA,NA,NA,NA,NA,0.622413851869525,NA,NA,NA
"R06D02_S2_20190311-VL46_0423-iSeq-Transfusion_1.0_R06|NODE_2_length_3527_cov_48.588710_859_4_1|TTV_Clade7","R06","48.588710",NA,0.333410058694902,NA,NA,NA,NA,NA,NA,NA,NA,1
"R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3033_cov_129.020148_376_1_1|TTV_Clade5","R07","129.020148",0.00222241248562832,NA,0.000738428055084142,NA,NA,NA,NA,NA,0.00278421338920563,NA,NA
"R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_2919_cov_90.749302_877_4_1|TLMV","R07","90.749302",0.00133136818415323,NA,NA,NA,NA,NA,NA,0.0616670509359529,7.2526542700002e-05,NA,NA
"R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_5_length_2890_cov_4647.058554_536_2_1|TLMV","R07","4647.058554",0.0680514445069596,NA,NA,NA,NA,NA,NA,NA,0.000156245453100622,NA,NA
"R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_2876_cov_6.341014_507_3_1|TLMV","R07","6.341014",9.29572641209423e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.00328382104219685,NA
